"","hsa.mir.142","hsa.mir.326","hsa.mir.1271","hsa.mir.431","hsa.mir.375","hsa.mir.627","hsa.mir.4772","hsa.mir.99a","hsa.mir.301a","hsa.mir.345","hsa.mir.3605","hsa.mir.940","hsa.mir.7.3","hsa.mir.323a","hsa.mir.1180","hsa.mir.3130.2","hsa.mir.1266","hsa.mir.6761","hsa.mir.4661","hsa.mir.150","hsa.mir.4668","hsa.mir.155","hsa.mir.628","hsa.mir.125b.2","hsa.mir.125b.1","hsa.mir.338","hsa.mir.135b","hsa.mir.362","hsa.mir.1248","hsa.mir.196b","hsa.mir.145","hsa.mir.323b","hsa.mir.3200","hsa.mir.188","hsa.mir.147b","hsa.mir.19a","hsa.mir.3607","hsa.mir.642a","hsa.mir.139","hsa.mir.301b","hsa.mir.210","hsa.mir.616","hsa.mir.451a","hsa.mir.144","hsa.mir.503","hsa.mir.217","hsa.mir.485","hsa.mir.33a","hsa.mir.3065","hsa.mir.215","hsa.mir.106a","hsa.mir.223","hsa.mir.1.1","hsa.mir.1.2","hsa.mir.937","hsa.mir.592","hsa.mir.153.2","hsa.mir.133a.2","hsa.mir.133a.1","hsa.mir.577","hsa.mir.33b","hsa.mir.1247","hsa.mir.149","hsa.mir.3653","hsa.mir.4662a","hsa.mir.296","hsa.mir.31","hsa.mir.9.1","hsa.mir.9.3","hsa.mir.9.2","hsa.mir.653","hsa.mir.20b","hsa.mir.486.2","hsa.mir.675","hsa.mir.486.1"
"TCGA-WS-AB45",6.454279,9.527745,20.89957,8.759378,1.84408,1.536733,157.51514,171.49941,12.601211,0.768367,5.532239,5.224892,0.92204,60.85463,2439.717419,115.25498,2017.730519,0.307347,7.222645,144.299235,42.260159,168.272271,1.536733,888.385387,27.968542,10.142438,1037.755841,81.139506,37.18894,1198.805467,1.690406,7.683665,1.997753,31.656701,19.51651,1.38306,5.532239,5.378566,15.674677,0.768367,684.460909,9.988765,1.229386,7.529992,1.536733,19.670183,15.213657,2.3051,137392.542019,23.512016,356.368399,2.76612,10.142438,3.688159,8.144685,10.449785,81.754199,76.68298,20.89957,38.264653,1.38306,5.378566,0.92204,9.220398,3.995506,1.84408,33.347108,0,1.38306,86.979092,91.589291,91.589291,1.536733,1.229386,53.017291
"TCGA-AA-3697",15.684122,5.041325,5.601472,3.92103,366.89642,1.680442,42.011041,35.849421,11.763091,0,1.120294,1.120294,36.969716,15.684122,686.180328,57.135015,449.23806,0.560147,1.120294,227.979913,53.213985,265.509776,8.402208,6106.724847,30.808096,0.560147,194.931228,1153.903246,25.206624,155.720923,1.680442,0.560147,1.120294,30.247949,1.680442,10.08265,0,1.120294,0.560147,0.560147,270.551101,11.763091,0.560147,9.522503,1.120294,6.721766,56.574868,5.041325,17679.926285,2.800736,81.221345,7.842061,6.161619,1.680442,9.522503,2.240589,15.123975,25.206624,2.240589,11.763091,44.251629,2.240589,2.240589,6.721766,0.560147,1.120294,2.800736,1.680442,6.721766,55.454573,64.977076,48.732807,3.360883,1.120294,21.285594
"TCGA-AA-3696",164.049368,6.741755,5.243587,15.730761,162.5512,0.749084,113.111664,134.835097,5.243587,5.992671,9.73809,8.989006,313.866142,34.457858,1125.873057,22.472516,954.332851,2.247252,17.228929,86.893729,22.472516,29.214271,8.989006,16801.20213,47.192284,0.749084,1399.28867,486.155432,33.708774,69.6648,3.745419,32.210606,11.985342,11.236258,7.490839,11.236258,11.236258,6.741755,33.708774,6.741755,119.104335,23.2216,9.73809,46.4432,16.479845,214.237987,23.970684,5.992671,83014.972688,14.981677,56.18129,11.236258,14.981677,6.741755,1.498168,2.996335,7.490839,4.494503,7.490839,311.61889,24.719768,28.465187,1.498168,44.195948,5.243587,143.824103,18.727097,5.243587,1.498168,38.203277,35.206942,56.930374,5.992671,0.749084,268.172026
"TCGA-AA-3695",337.495449,23.614842,3.935807,10.823469,137.753245,4.919759,112.170499,112.170499,4.919759,8.855566,16.72718,12.791373,75.764285,33.454359,1838.021863,64.940815,3182.09995,5.90371,20.662987,187.934784,30.502504,115.122354,39.35807,6941.779575,57.069201,1.967903,1655.006838,435.890624,28.534601,168.255749,3.935807,91.507512,10.823469,15.743228,0,6.887662,3.935807,9.839517,33.454359,4.919759,47.229684,144.640907,10.823469,112.170499,2.951855,381.773278,15.743228,62.972912,42606.094597,9.839517,423.099251,5.90371,1.967903,5.90371,3.935807,1.967903,15.743228,15.743228,11.807421,77.732188,54.117346,5.90371,2.951855,31.486456,3.935807,4.919759,43.293877,4.919759,2.951855,10.823469,11.807421,7.871614,3.935807,5.90371,205.645915
"TCGA-AA-3693",92.519835,72.054618,2.984511,76.744564,452.792927,10.232609,276.28043,303.567386,5.116304,12.790761,112.558694,96.783422,82.713585,97.63614,1666.209752,28.566032,13071.731012,0.426359,39.224999,428.064123,51.163043,212.326627,8.527174,23951.55201,62.674727,58.837499,940.973624,194.419562,63.101086,85.698096,10.232609,14.496195,1.705435,3.41087,2.984511,4.689946,1.279076,2.984511,9.80625,4.263587,932.44645,59.263858,2.558152,18.759782,8.953532,162.44266,105.736955,23.876087,26896.411467,6.39538,142.83016,6.821739,4.263587,5.969022,3.837228,1.279076,23.876087,15.348913,5.969022,193.140486,62.674727,19.6125,4.689946,30.271467,19.186141,5.969022,8.953532,5.116304,1.279076,127.907606,134.729345,142.403802,0.426359,0.852717,271.590484
"TCGA-AA-3692",215.21671,20.496829,5.465821,25.279423,114.782245,3.416138,107.949969,102.484147,7.515504,2.049683,12.298098,15.714236,99.751237,33.478155,2910.549786,45.093025,2870.239355,6.149049,15.714236,700.991568,51.925301,105.900286,14.347781,7625.503795,34.161382,8.198732,1904.838687,823.289318,32.1117,208.384433,4.099366,41.676887,6.832276,7.515504,34.161382,4.782594,2.049683,2.732911,6.832276,4.782594,145.527489,197.452791,11.61487,48.509163,4.099366,569.128632,25.962651,16.397464,53918.959636,4.782594,357.328061,26.645878,14.347781,1.366455,10.931642,2.049683,20.496829,28.695561,9.565187,247.328409,97.701554,6.149049,11.61487,45.093025,2.732911,10.931642,10.248415,2.732911,3.416138,66.95631,64.223399,60.124033,0.683228,1.366455,131.179709
"TCGA-DM-A1DA",48.591633,5.268972,45.957147,5.854414,40.102733,4.09809,35.419202,42.737219,50.055236,3.219927,2.341765,1.463603,138.164161,14.050593,948.707726,26.344861,1400.961178,1.170883,12.586989,129.382541,30.735671,809.372682,26.344861,1340.367997,121.186362,1.170883,730.630819,9868.492307,21.954051,85.767159,2.049045,16.685079,4.09809,10.537945,1.463603,6.147134,12.87971,6.147134,3.512648,4.976252,212.515214,156.898285,19.612286,37.468247,2.341765,86.938042,86.352601,5.854414,16232.239905,12.294269,173.290643,4.39081,2.341765,2.341765,5.268972,3.219927,19.905006,21.36861,2.049045,237.396472,0.878162,6.147134,6.439855,7.903458,0,0.585441,335.750621,2.927207,21.36861,12.294269,13.172431,12.294269,4.09809,3.219927,30.735671
"TCGA-A6-6782",9.775194,11.356475,4.887597,9.343935,525.704159,1.868787,379.076256,397.332867,15.237802,1.437528,2.443798,1.725034,35.3632,43.700865,2102.960389,138.577744,2712.184951,1.437528,14.519037,358.08834,19.69414,223.966935,3.450068,4350.679893,32.775649,2.731304,215.629269,137.571474,31.625626,170.347123,3.737574,2.875057,0.718764,22.137938,3.593821,4.312585,2.01254,3.881327,4.168833,17.106589,580.473993,51.03226,1.868787,9.631441,2.300046,88.695506,11.212722,5.606361,19558.005999,14.087779,632.225018,5.462608,5.750114,0.862517,3.593821,5.606361,97.608183,90.708046,16.531577,10.925216,22.281691,1.150023,2.875057,7.043889,2.300046,2.443798,22.137938,1.725034,4.02508,25.300501,23.287961,25.300501,0.575011,6.325125,472.659359
"TCGA-A6-6781",12.7704873333333,5.43043333333333,47.3345333333333,5.788734,45.0993426666667,3.60133433333333,460.400634,453.260542333333,13.795142,3.89773166666667,10.040289,7.382689,39.222426,41.039651,1699.54891333333,61.8435746666667,2843.33957333333,2.11239066666667,37.9517456666667,585.708224,103.395348666667,615.558122333333,2.28303933333333,592.591167333333,24.1947836666667,23.0243363333333,2997.68461766667,990.624017333333,22.5418966666667,1130.249266,4.39930833333333,9.53108033333333,2.07263766666667,23.963916,35.545826,5.22967566666667,4.33265566666667,5.74798466666667,9.39817266666667,5.950357,902.272163333333,25.563959,5.83639033333333,17.4788453333333,2.450679,25.662986,13.41208,18.97377,71827.9661206667,32.733711,383.64851,1.20840833333333,2.95312633333333,2.01575466666667,24.7825716666667,11.584576,136.125986666667,135.64154,8.970136,12.8765703333333,1.868726,4.746969,1.445312,3.81822566666667,15.711126,3.62495433333333,36.503496,0.223652333333333,0.402802666666667,555.799118,553.252618,546.439922,3.09627633333333,2.679352,132.732806666667
"TCGA-F4-6459",8.224215,116.186686,6.07649,124.882353,570.247188,2.042958,196.123964,201.467085,8.643284,1.833424,58.302877,46.359431,23.83451,35.83034,599.948654,27.291823,6952.02878,2.566793,8.852818,137.454402,23.153524,101.519295,1.833424,602.043995,10.476707,10.005256,502.881959,250.498076,64.169833,110.948332,1.78104,6.600326,1.62389,5.657422,2.566793,4.819285,1.78104,1.728657,1.204821,6.233641,164.536691,40.335324,3.195396,12.519665,1.676273,93.818915,4.085916,3.981149,15290.073576,7.595613,94.971353,1.728657,2.409643,0.576219,2.67156,2.200109,8.695667,8.643284,45.678445,60.083917,40.649625,1.62389,1.938191,7.438462,1.519123,5.447888,12.048214,1.414356,1.257205,72.341665,71.451145,72.341665,2.881095,2.828711,194.604841
